# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 1.053E+06
1.500E-03 4.134E+05
2.000E-03 2.063E+05
3.000E-03 7.491E+04
3.004E-03 7.466E+04
3.004E-03 2.576E+05
3.074E-03 2.420E+05
3.146E-03 2.276E+05
3.146E-03 3.146E+05
3.276E-03 2.846E+05
3.412E-03 2.575E+05
3.412E-03 2.949E+05
4.000E-03 1.991E+05
5.000E-03 1.118E+05
6.000E-03 6.942E+04
8.000E-03 3.220E+04
1.000E-02 1.756E+04
1.500E-02 5.725E+03
2.000E-02 2.555E+03
2.322E-02 1.674E+03
2.322E-02 1.079E+04
3.000E-02 5.567E+03
4.000E-02 2.550E+03
5.000E-02 1.375E+03
6.000E-02 8.236E+02
8.000E-02 3.620E+02
1.000E-01 1.898E+02
1.500E-01 5.814E+01
2.000E-01 2.515E+01
3.000E-01 7.908E+00
4.000E-01 3.600E+00
5.000E-01 2.014E+00
6.000E-01 1.284E+00
8.000E-01 6.613E-01
1.000E+00 4.124E-01
1.022E+00 3.924E-01
1.250E+00 2.903E-01
1.500E+00 3.103E-01
2.000E+00 5.372E-01
2.044E+00 5.629E-01
3.000E+00 1.164E+00
4.000E+00 1.759E+00
5.000E+00 2.285E+00
6.000E+00 2.745E+00
7.000E+00 3.158E+00
8.000E+00 3.532E+00
9.000E+00 3.872E+00
1.000E+01 4.184E+00
