# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 9.397E+02
1.500E-03 8.789E+02
2.000E-03 8.193E+02
2.080E-03 8.100E+02
2.080E-03 8.100E+02
2.117E-03 8.057E+02
2.155E-03 8.013E+02
2.155E-03 8.013E+02
2.261E-03 7.893E+02
2.373E-03 7.769E+02
2.373E-03 7.769E+02
3.000E-03 7.120E+02
4.000E-03 6.196E+02
5.000E-03 5.422E+02
6.000E-03 4.784E+02
8.000E-03 3.809E+02
1.000E-02 3.090E+02
1.500E-02 1.931E+02
1.704E-02 1.636E+02
1.704E-02 1.636E+02
2.000E-02 1.314E+02
3.000E-02 7.437E+01
4.000E-02 4.814E+01
5.000E-02 3.349E+01
6.000E-02 2.462E+01
8.000E-02 1.501E+01
1.000E-01 1.016E+01
1.500E-01 4.899E+00
2.000E-01 2.866E+00
3.000E-01 1.322E+00
4.000E-01 7.576E-01
5.000E-01 4.899E-01
6.000E-01 3.424E-01
8.000E-01 1.939E-01
1.000E+00 1.245E-01
1.022E+00 1.193E-01
1.250E+00 7.989E-02
1.500E+00 5.554E-02
2.000E+00 3.128E-02
2.044E+00 2.995E-02
3.000E+00 1.392E-02
4.000E+00 7.831E-03
5.000E+00 5.013E-03
6.000E+00 3.481E-03
7.000E+00 2.558E-03
8.000E+00 1.958E-03
9.000E+00 1.547E-03
1.000E+01 1.253E-03
