# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.577E+03
1.500E-03 1.492E+03
2.000E-03 1.400E+03
3.000E-03 1.223E+03
3.929E-03 1.077E+03
3.929E-03 1.077E+03
4.000E-03 1.066E+03
4.156E-03 1.044E+03
4.156E-03 1.044E+03
4.308E-03 1.023E+03
4.465E-03 1.001E+03
4.465E-03 1.001E+03
5.000E-03 9.309E+02
6.000E-03 8.164E+02
8.000E-03 6.419E+02
1.000E-02 5.218E+02
1.500E-02 3.438E+02
2.000E-02 2.418E+02
2.920E-02 1.418E+02
2.920E-02 1.418E+02
3.000E-02 1.363E+02
4.000E-02 8.897E+01
5.000E-02 6.305E+01
6.000E-02 4.688E+01
8.000E-02 2.871E+01
1.000E-01 1.944E+01
1.500E-01 9.442E+00
2.000E-01 5.573E+00
3.000E-01 2.593E+00
4.000E-01 1.491E+00
5.000E-01 9.670E-01
6.000E-01 6.772E-01
8.000E-01 3.846E-01
1.000E+00 2.474E-01
1.022E+00 2.370E-01
1.250E+00 1.589E-01
1.500E+00 1.105E-01
2.000E+00 6.231E-02
2.044E+00 5.966E-02
3.000E+00 2.773E-02
4.000E+00 1.561E-02
5.000E+00 9.992E-03
6.000E+00 6.940E-03
7.000E+00 5.099E-03
8.000E+00 3.904E-03
9.000E+00 3.085E-03
1.000E+01 2.499E-03
