Sector,ETF Name,Ticker
Communication Services,Communication Services Select Sector SPDR Fund,XLC
Consumer Discretionary,Consumer Discretionary Select Sector SPDR Fund,XLY
Consumer Staples,Consumer Staples Select Sector SPDR Fund,XLP
Energy,Energy Select Sector SPDR Fund,XLE
Financials,Financial Select Sector SPDR Fund,XLF
Health Care,Health Care Select Sector SPDR Fund,XLV
Industrials,Industrial Select Sector SPDR Fund,XLI
Materials,Materials Select Sector SPDR Fund,XLB
Real Estate,Real Estate Select Sector SPDR Fund,XLRE
Technology,Technology Select Sector SPDR Fund,XLK
Utilities,Utilities Select Sector SPDR Fund,XLU
